질문 번호,질문 내용,응답 텍스트
1,,끝까지
1,,네 아니요
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,로금크 앗라
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",펱!
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,네
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",안녕
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,"아, 네, 요"
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,뭐
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",끝..
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",앨드부터 연살에WOO
4,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",두ichi의
5,문제 5: 수업이나 놀이에서 집중력을 유지하는 데 어려움을 겪는 경우가 있다.,재밌을 건 좀... 이건 좀 좋아 전상
6,"문제 6: 활동에 필요한 물건들을 종종 잃어버린다.(예: 준비물, 장난감, 숙제, 연필, 책 등)",attempts to make some sound Ihre nose
7,문제 7: 외부 자극에 의해 산만해진다.,열심히 하고 오�IN 대비 Worcett
8,문제 8: 일상적인 일들을 종종 잊어버린다.,전혀 안 아는데? 전혀 안 아는데? 전혀 안 아는데?
9,문제 9: 대화 내용 또는 지시사항을 이해하거나 이행하기 등에 어려움을 느끼는 경우가 있다.,나 Know
10,"문제 10: 손발이 가만히 있지 않으며, 자리에 앉아서는 계속 몸을 꿈틀거리는 일이 있다.",매우 맛있다고 말했어요. 고기는 � Mirror 점점 해주�!! Statue 싸우는 집집 날치 overwhelmed 진화 유여 Treat Queue requitation
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,old bamboo
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,네
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,와そうですねlaughter
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",빨리
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",안녕
4,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",怪 pass centimeters 보 � immers 높은 너무 싶다 준비 투
5,문제 5: 수업이나 놀이에서 집중력을 유지하는 데 어려움을 겪는 경우가 있다.,주기 부
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,안녕
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",딴
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",아유
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,모니突mag
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",안녕
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",🤖 인식된 내용이 없습니다.
4,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",🤖 인식된 내용이 없습니다.
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,break 꽃
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",아니요
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",🤖 인식된 내용이 없습니다.
4,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",🤖 인식된 내용이 없습니다.
5,문제 5: 수업이나 놀이에서 집중력을 유지하는 데 어려움을 겪는 경우가 있다.,🤖 인식된 내용이 없습니다.
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,좋았다rá
2,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,좋았다rá
3,"문제 3: 과제나 업무를 수행하는 데 있어서 집중을 잘 못하고, 부주의로 인한 실수가 있다.",
4,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",마지막. glimp
5,"문제 4: 지속적으로 정신력이 필요한 과제에 몰두하는 것을 피하거나, 거부하는 경우가 있다.",마지막. glimp
6,"문제 6: 활동에 필요한 물건들을 종종 잃어버린다.(예: 준비물, 장난감, 숙제, 연필, 책 등)",
7,문제 7: 외부 자극에 의해 산만해진다.,häufig
8,문제 7: 외부 자극에 의해 산만해진다.,häufig
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,오뉴원
2,"문제 2: 지시를 잘 따르지 않거나 숙제, 임무 등을 완수하지 못하는 경우가 있다.",네
1,문제 1: 대화를 할 때 잘 듣지 않는 경우가 있다.,사람들이 찍ー
